address,entity,tx_sent,ethersent,tx_fee
0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex: Old Address 2,30398,8163400.492970007,20.267291642666173
0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,5197,8077981.08539133,9.804880580425426
0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Bitfinex: Deployer 1,1,1.0973,0.0026999999999999997
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,468,4545031.868499375,0.732609944176448
0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex: Contract 1,513180,45627128.51297374,1368.9689342621687
0x0e55c54249f25f70d519b7fb1c20e3331e7ba76d,Bitfinex: Contract 2,494,17741.38,1.0530040396499991
0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,Bitfinex: Old Contract 1,11,275010.00001,0.030896123999999997
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,19,33.786992927,0.043400194569448575
0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex: Deployer 3,27,17904.98168293,0.04806099999999999
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,494,0.2,2.8821404477
0x8d5a41e85f4ce2433beef476305d307b9205d98d,Bitfinex: Old Contract 2,736,1976.58412363,1.9631812109999982
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex: LEO Token,32980,0.011,47.30827606629977
0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Bitfinex: Deployer 2,1,2,0.0018
0xabdf147870235fcfc34153828c769a70b3fae01f,Tether EUR,92,0,0.3454790396458
0x2903cadbe271e057edef157340b52a5898d7424f,Bitfinex: Deployer 4,8,4.23026,0.016521924
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether: USDT Stablecoin,14756522,108.376173141,33153.499653419734
0x14d06788090769f669427b6aea1c0240d2321f34,Bitfinex: Deployer 6,20,175.95314458,0.03894664325
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,704398,43214518.253082097,2566.7517059226243
0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex: Old Address 1,7342,23078610.109547022,15.132469172167223
0x36928500bc1dcd7af6a2b4008875cc336b927d57,Bitfinex: Deployer 5,7,5.7190001,0.011610009999999997
