Address,Entity,Balance,Total_tx
0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core,"409,865.39210072 Ether",14
0x7de3e919d1d7e5f1b1b27bdb3575b65c5874a5f6,Celsius Network: Wallet,0.25962901 Ether,"27,675"
0x75db8b92937f8f86213e523788ab9f066efde3fe,Celsius Network: Wallet 2,1 Ether,"44,629"
0xb26314635252b4ee8b454423e5299a092dea8a4a,Celsius Network: Wallet 4,5.04175805 Ether,"60,758"
0x3fda67f7583380e67ef93072294a7fac882fd7e7,Compound,0 Ether,"32,149"
0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,Lendf.Me,0 Ether,"9,407"
0x00ee047a66d5cff27587a61559138c26b62f7ceb,Nexo 1,4.54196103 Ether,413
0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,Nexo 2,264.51341316 Ether,"291,225"
0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,Nexo: WBTC Merchant Deposit Address,"2,689.13571709 Ether","1,405"
0x802275979b020f0ec871c5ec1db6e412b72ff20b,Nuo Network: Reserve Escrow,0 Ether,3
0x260ee8f2b0c167e0cd6119b2df923fd061dc1093,YouHodler,"1,343.91547258 Ether","37,802"
